,Paper ID,Presentation,Title,Authors,Title (arxiv),Abstract,URL
14,2462,Oral,Hybrid Camera Pose Estimation,"Federico Camposeco, ETH; Andrea Cohen, ETH Zurich; Marc Pollefeys, ETH; Torsten Sattler, ETH Zurich",Laser map aided visual inertial localization in changing environment,"Long-term visual localization in outdoor environment is a challenging problem, especially faced with the cross-seasonal, bi-directional tasks and changing environment. In this paper we propose a novel visual inertial localization framework that localizes against the LiDAR-built map. Based on the geometry information of the laser map, a hybrid bundle adjustment framework is proposed, which estimates the poses of the cameras with respect to the prior laser map as well as optimizes the state variables of the online visual inertial odometry system simultaneously. For more accurate cross-modal data association, the laser map is optimized using multi-session laser and visual data to extract the salient and stable subset for localization. To validate the efficiency of the proposed method, we collect data in south part of our campus in different seasons, along the same and opposite-direction route. In all sessions of localization data, our proposed method gives satisfactory results, and shows the superiority of the hybrid bundle adjustment and map optimization.",http://arxiv.org/pdf/1803.01104v1
15,3968,Oral,A Globally Optimal Solution to the Non-Minimal Relative Pose Problem,"Jesus Briales, University of Malaga; Laurent Kneip, ; Javier Gonzalez-Jimenez,",A Certifiably Correct Algorithm for Synchronization over the Special Euclidean Group,"Many geometric estimation problems take the form of synchronization over the special Euclidean group: estimate the values of a set of poses given noisy measurements of a subset of their pairwise relative transforms. This problem is typically formulated as a maximum-likelihood estimation that requires solving a nonconvex nonlinear program, which is computationally intractable in general. Nevertheless, in this paper we present an algorithm that is able to efficiently recover certifiably globally optimal solutions of this estimation problem in a non-adversarial noise regime. The crux of our approach is the development of a semidefinite relaxation of the maximum-likelihood estimation whose minimizer provides the exact MLE so long as the magnitude of the noise corrupting the available measurements falls below a certain critical threshold; furthermore, whenever exactness obtains, it is possible to verify this fact a posteriori, thereby certifying the optimality of the recovered estimate. We develop a specialized optimization scheme for solving large-scale instances of this semidefinite relaxation by exploiting its low-rank, geometric, and graph-theoretic structure to reduce it to an equivalent optimization problem on a low-dimensional Riemannian manifold, and then design a Riemannian truncated-Newton trust-region method to solve this reduction efficiently. We combine this fast optimization approach with a simple rounding procedure to produce our algorithm, SE-Sync. Experimental evaluation on a variety of simulated and real-world pose-graph SLAM datasets shows that SE-Sync is capable of recovering globally optimal solutions when the available measurements are corrupted by noise up to an order of magnitude greater than that typically encountered in robotics applications, and does so at a computational cost that scales comparably with that of direct Newton-type local search techniques.",http://arxiv.org/pdf/1611.00128v3
16,2956,Spotlight,Single View Stereo Matching,"Yue Luo, SenseTime; Jimmy Ren, SenseTime Group Limited; Mude Lin, Sun Yat-Sen University; Jiahao Pang, SenseTime Group Limited; Wenxiu Sun, SenseTime Group Limited; Hongsheng Li, ; Liang Lin,",Prioritized Multi-View Stereo Depth Map Generation Using Confidence Prediction,"In this work, we propose a novel approach to prioritize the depth map computation of multi-view stereo (MVS) to obtain compact 3D point clouds of high quality and completeness at low computational cost. Our prioritization approach operates before the MVS algorithm is executed and consists of two steps. In the first step, we aim to find a good set of matching partners for each view. In the second step, we rank the resulting view clusters (i.e. key views with matching partners) according to their impact on the fulfillment of desired quality parameters such as completeness, ground resolution and accuracy. Additional to geometric analysis, we use a novel machine learning technique for training a confidence predictor. The purpose of this confidence predictor is to estimate the chances of a successful depth reconstruction for each pixel in each image for one specific MVS algorithm based on the RGB images and the image constellation. The underlying machine learning technique does not require any ground truth or manually labeled data for training, but instead adapts ideas from depth map fusion for providing a supervision signal. The trained confidence predictor allows us to evaluate the quality of image constellations and their potential impact to the resulting 3D reconstruction and thus builds a solid foundation for our prioritization approach. In our experiments, we are thus able to reach more than 70% of the maximal reachable quality fulfillment using only 5% of the available images as key views. For evaluating our approach within and across different domains, we use two completely different scenarios, i.e. cultural heritage preservation and reconstruction of single family houses.",http://arxiv.org/pdf/1803.08323v1
17,2980,Spotlight,Fight ill-posedness with ill-posedness: Single-shot variational depth super-resolution from shading,"Bjoern Haefner, TU Munich; Yvain Queau, Technical University Munich; Thomas Möllenhoff, Technical University of Munich; Daniel Cremers,",,,
18,3324,Spotlight,Deep Depth Completion of a Single RGB-D Image,"Yinda Zhang, Princeton; Thomas Funkhouser, Princeton",,,
19,142,Spotlight,Multi-view Harmonized Bilinear Network for 3D Object Recognition,"Tan Yu, Nanyang Technological Univ; Jingjing Meng, ; Junsong Yuan, Nanyang Technological University",,,
20,1025,Spotlight,PPFNet: Global Context Aware Local Features for Robust 3D Point Matching,"Haowen Deng, Technical University of Munich; Tolga Birdal, Technical University of Munich; Slobodan Ilic, Siemens AG",PPFNet: Global Context Aware Local Features for Robust 3D Point Matching,"We present PPFNet - Point Pair Feature NETwork for deeply learning a globally informed 3D local feature descriptor to find correspondences in unorganized point clouds. PPFNet learns local descriptors on pure geometry and is highly aware of the global context, an important cue in deep learning. Our 3D representation is computed as a collection of point-pair-features combined with the points and normals within a local vicinity. Our permutation invariant network design is inspired by PointNet and sets PPFNet to be ordering-free. As opposed to voxelization, our method is able to consume raw point clouds to exploit the full sparsity. PPFNet uses a novel $\textit{N-tuple}$ loss and architecture injecting the global information naturally into the local descriptor. It shows that context awareness also boosts the local feature representation. Qualitative and quantitative evaluations of our network suggest increased recall, improved robustness and invariance as well as a vital step in the 3D descriptor extraction performance.",http://arxiv.org/pdf/1802.02669v2
21,1129,Spotlight,FoldingNet: Interpretable Unsupervised Learning on 3D Point Clouds,"Yaoqing Yang, Carnegie Mellon University; Chen Feng, MERL; Yiru Shen, Clemson University; Dong Tian, Mitsubishi Electric Research Laboratories",,,
22,1775,Spotlight,A Papier-Mâché Approach to Learning 3D Surface Generation,"Thibault GROUEIX, École des ponts ParisTech; Bryan Russell, Adobe; Mathew Fisher, Adobe Systems; Mathieu Aubry, ; Vladimir Kim, Adobe Research",,,
23,2629,Spotlight,LEGO: Learning Edge with Geometry all at Once by Watching Videos,"Zhenheng Yang, ; Peng Wang, Baidu; Yang Wang, Baidu USA; Wei Xu, ; Ram Nevatia,",LEGO: Learning Edge with Geometry all at Once by Watching Videos,"Learning to estimate 3D geometry in a single image by watching unlabeled videos via deep convolutional network is attracting significant attention. In this paper, we introduce a ""3D as-smooth-as-possible (3D-ASAP)"" prior inside the pipeline, which enables joint estimation of edges and 3D scene, yielding results with significant improvement in accuracy for fine detailed structures. Specifically, we define the 3D-ASAP prior by requiring that any two points recovered in 3D from an image should lie on an existing planar surface if no other cues provided. We design an unsupervised framework that Learns Edges and Geometry (depth, normal) all at Once (LEGO). The predicted edges are embedded into depth and surface normal smoothness terms, where pixels without edges in-between are constrained to satisfy the prior. In our framework, the predicted depths, normals and edges are forced to be consistent all the time. We conduct experiments on KITTI to evaluate our estimated geometry and CityScapes to perform edge evaluation. We show that in all of the tasks, i.e.depth, normal and edge, our algorithm vastly outperforms other state-of-the-art (SOTA) algorithms, demonstrating the benefits of our approach.",http://arxiv.org/pdf/1803.05648v2
24,3633,Poster,Learning Face Age Progression: A Pyramid Architecture of GANs,"Hongyu Yang, BEIHANG UNIVERSITY; Di Huang, ; Yunhong Wang, ; Anil Jain, MSU",Learning Face Age Progression: A Pyramid Architecture of GANs,"The two underlying requirements of face age progression, i.e. aging accuracy and identity permanence, are not well handled in the literature. In this paper, we present a novel generative adversarial network based approach. It separately models the constraints for the intrinsic subject-specific characteristics and the age-specific facial changes with respect to the elapsed time, ensuring that the generated faces present desired aging effects while simultaneously keeping personalized properties stable. Further, to generate more lifelike facial details, high-level age-specific features conveyed by the synthesized face are estimated by a pyramidal adversarial discriminator at multiple scales, which simulates the aging effects in a finer manner. The proposed method is applicable for diverse face samples in the presence of variations in pose, expression, makeup, etc., and remarkably vivid aging effects are achieved. Both visual fidelity and quantitative evaluations show that the approach advances the state-of-the-art.",http://arxiv.org/pdf/1711.10352v1
25,363,Poster,Five-point Fundamental Matrix Estimation for Uncalibrated Cameras,"Daniel Barath, MTA SZTAKI",Five-point Fundamental Matrix Estimation for Uncalibrated Cameras,"We aim at estimating the fundamental matrix in two views from five correspondences of rotation invariant features obtained by e.g.\ the SIFT detector. The proposed minimal solver first estimates a homography from three correspondences assuming that they are co-planar and exploiting their rotational components. Then the fundamental matrix is obtained from the homography and two additional point pairs in general position. The proposed approach, combined with robust estimators like Graph-Cut RANSAC, is superior to other state-of-the-art algorithms both in terms of accuracy and number of iterations required. This is validated on synthesized data and $561$ real image pairs. Moreover, the tests show that requiring three points on a plane is not too restrictive in urban environment and locally optimized robust estimators lead to accurate estimates even if the points are not entirely co-planar. As a potential application, we show that using the proposed method makes two-view multi-motion estimation more accurate.",http://arxiv.org/pdf/1803.00260v1
26,766,Poster,PointFusion: Deep Sensor Fusion for 3D Bounding Box Estimation,"Danfei Xu, Stanford Univesity; dragomir Anguelov, Zoox Inc.; Ashesh Jain, Zoox Inc.",PointFusion: Deep Sensor Fusion for 3D Bounding Box Estimation,"We present PointFusion, a generic 3D object detection method that leverages both image and 3D point cloud information. Unlike existing methods that either use multi-stage pipelines or hold sensor and dataset-specific assumptions, PointFusion is conceptually simple and application-agnostic. The image data and the raw point cloud data are independently processed by a CNN and a PointNet architecture, respectively. The resulting outputs are then combined by a novel fusion network, which predicts multiple 3D box hypotheses and their confidences, using the input 3D points as spatial anchors. We evaluate PointFusion on two distinctive datasets: the KITTI dataset that features driving scenes captured with a lidar-camera setup, and the SUN-RGBD dataset that captures indoor environments with RGB-D cameras. Our model is the first one that is able to perform better or on-par with the state-of-the-art on these diverse datasets without any dataset-specific model tuning.",http://arxiv.org/pdf/1711.10871v1
27,1350,Poster,Scalable Dense Non-rigid Structure-from-Motion: A Grassmannian Perspective,"Suryansh Kumar, Australian National University; Anoop Cherian, ; Yuchao Dai, Australian National University; Hongdong Li, Australian National University",Scalable Dense Non-rigid Structure-from-Motion: A Grassmannian Perspective,"This paper addresses the task of dense non-rigid structure-from-motion (NRSfM) using multiple images. State-of-the-art methods to this problem are often hurdled by scalability, expensive computations, and noisy measurements. Further, recent methods to NRSfM usually either assume a small number of sparse feature points or ignore local non-linearities of shape deformations, and thus cannot reliably model complex non-rigid deformations. To address these issues, in this paper, we propose a new approach for dense NRSfM by modeling the problem on a Grassmann manifold. Specifically, we assume the complex non-rigid deformations lie on a union of local linear subspaces both spatially and temporally. This naturally allows for a compact representation of the complex non-rigid deformation over frames. We provide experimental results on several synthetic and real benchmark datasets. The procured results clearly demonstrate that our method, apart from being scalable and more accurate than state-of-the-art methods, is also more robust to noise and generalizes to highly non-linear deformations.",http://arxiv.org/pdf/1803.00233v2
28,1389,Poster,GVCNN: Group-View Convolutional Neural Networks for 3D Shape Recognition,"Yifan Feng, Xidian university; Zizhao Zhang, ; xibin Zhao, ; Rongrong Ji, ; Yue Gao, Tsinghua University",,,
29,2455,Poster,Depth and Transient Imaging with Compressive SPAD Array Cameras,"Qilin Sun, KAUST; Xiong Dun, KAUST; Yifan (Evan) Peng, UBC; Wolfgang Heidrich,",,,
30,2837,Poster,GeoNet: Geometric Neural Network for Joint Depth and Surface Normal Estimation,"Xiaojuan Qi, CUHK; Renjie Liao, ; Zhengzhe Liu, CUHK; Raquel Urtasun, University of Toronto; Jiaya Jia, Chinese University of Hong Kong",,,
31,3117,Poster,Real-Time Seamless Single Shot 6D Object Pose Prediction,"Bugra Tekin, ; Sudipta Sinha, Microsoft Research; Pascal Fua,",Real-Time Seamless Single Shot 6D Object Pose Prediction,"We propose a single-shot approach for simultaneously detecting an object in an RGB image and predicting its 6D pose without requiring multiple stages or having to examine multiple hypotheses. Unlike a recently proposed single-shot technique for this task (Kehl et al., ICCV'17) that only predicts an approximate 6D pose that must then be refined, ours is accurate enough not to require additional post-processing. As a result, it is much faster - 50 fps on a Titan X (Pascal) GPU - and more suitable for real-time processing. The key component of our method is a new CNN architecture inspired by the YOLO network design that directly predicts the 2D image locations of the projected vertices of the object's 3D bounding box. The object's 6D pose is then estimated using a PnP algorithm.   For single object and multiple object pose estimation on the LINEMOD and OCCLUSION datasets, our approach substantially outperforms other recent CNN-based approaches when they are all used without post-processing. During post-processing, a pose refinement step can be used to boost the accuracy of the existing methods, but at 10 fps or less, they are much slower than our method.",http://arxiv.org/pdf/1711.08848v2
32,757,Poster,"Factoring Shape, Pose, and Layout from the 2D Image of a 3D Scene","Shubham Tulsiani, UC Berkeley; David Fouhey, UC Berkeley; Saurabh Gupta, ; Alexei Efros, UC Berkeley; Jitendra Malik,","Factoring Shape, Pose, and Layout from the 2D Image of a 3D Scene","The goal of this paper is to take a single 2D image of a scene and recover the 3D structure in terms of a small set of factors: a layout representing the enclosing surfaces as well as a set of objects represented in terms of shape and pose. We propose a convolutional neural network-based approach to predict this representation and benchmark it on a large dataset of indoor scenes. Our experiments evaluate a number of practical design questions, demonstrate that we can infer this representation, and quantitatively and qualitatively demonstrate its merits compared to alternate representations.",http://arxiv.org/pdf/1712.01812v1
33,944,Poster,Monocular Relative Depth Perception with Web Stereo Data Supervision,"Ke Xian, Huazhong University of Science and Technology; Chunhua Shen, University of Adelaide; Zhiguo Cao, Huazhong University of Science and Technology; Hao Lu, Huazhong University of Science and Technology; yang xiao, Huazhong University of Science and Technology; Ruibo Li, Huazhong University of Science and Technology; Zhenbo Luo, Samsung Research Beijing",,,
34,2138,Poster,Spline Error Weighting for Robust Visual-Inertial Fusion,"Hannes Ovrén, Linköping University; Per-Erik Forssen, Linkoping University",,,
35,2873,Poster,Single-Image Depth Estimation Based on Fourier Domain Analysis,"Jaehan Lee, Korea University; Minhyeok Heo, Korea Unversity; Kyung-Rae Kim, Korea University; Chang-Su Kim,",,,
36,4186,Poster,Unsupervised Learning of Single View Depth Estimation and Visual Odometry with Deep Feature Reconstruction,"Huangying Zhan, The University of Adelaide; Ravi Garg, The University of Adelaide; Chamara Weerasekera, The University of Adelaide; Kejie Li, The University of Adelaide; Harsh Agarwal, Indian Institute of Technology (BHU); Ian Reid,",Unsupervised Learning of Monocular Depth Estimation and Visual Odometry with Deep Feature Reconstruction,"Despite learning based methods showing promising results in single view depth estimation and visual odometry, most existing approaches treat the tasks in a supervised manner. Recent approaches to single view depth estimation explore the possibility of learning without full supervision via minimizing photometric error. In this paper, we explore the use of stereo sequences for learning depth and visual odometry. The use of stereo sequences enables the use of both spatial (between left-right pairs) and temporal (forward backward) photometric warp error, and constrains the scene depth and camera motion to be in a common, real-world scale. At test time our framework is able to estimate single view depth and two-view odometry from a monocular sequence. We also show how we can improve on a standard photometric warp loss by considering a warp of deep features. We show through extensive experiments that: (i) jointly training for single view depth and visual odometry improves depth prediction because of the additional constraint imposed on depths and achieves competitive results for visual odometry; (ii) deep feature-based warping loss improves upon simple photometric warp loss for both single view depth estimation and visual odometry. Our method outperforms existing learning based methods on the KITTI driving dataset in both tasks. The source code is available at https://github.com/Huangying-Zhan/Depth-VO-Feat",http://arxiv.org/pdf/1803.03893v3
37,122,Poster,Detect-and-Track: Efficient Pose Estimation in Videos,"Rohit Girdhar, CMU; Georgia Gkioxari, Facebook; Lorenzo Torresani, Darthmout College, USA; Manohar Paluri, ; Du Tran, Dartmouth College",Detect-and-Track: Efficient Pose Estimation in Videos,"This paper addresses the problem of estimating and tracking human body keypoints in complex, multi-person video. We propose an extremely lightweight yet highly effective approach that builds upon the latest advancements in human detection and video understanding. Our method operates in two-stages: keypoint estimation in frames or short clips, followed by lightweight tracking to generate keypoint predictions linked over the entire video. For frame-level pose estimation we experiment with Mask R-CNN, as well as our own proposed 3D extension of this model, which leverages temporal information over small clips to generate more robust frame predictions. We conduct extensive ablative experiments on the newly released multi-person video pose estimation benchmark, PoseTrack, to validate various design choices of our model. Our approach achieves an accuracy of 55.2% on the validation and 51.8% on the test set using the Multi-Object Tracking Accuracy (MOTA) metric, and achieves state of the art performance on the ICCV 2017 PoseTrack keypoint tracking challenge.",http://arxiv.org/pdf/1712.09184v1
38,191,Poster,Supervision-by-Registration: An Unsupervised Approach to Improve the Precision of Facial Landmark Detectors,"Xuanyi Dong, UTS; Shoou-I Yu, Oculus; Xinshuo Weng, Carnegie Mellon University; Shih-En Wei, Oculus Research; Yi Yang, ; Yaser Sheikh,",,,
39,312,Poster,Diversity Regularized Spatiotemporal Attention for Video-based Person Re-identification,"Shuang Li, The Chinese University of HK; Slawomir Bak, Disney Research; Peter Carr, Disney Research",Diversity Regularized Spatiotemporal Attention for Video-based Person Re-identification,"Video-based person re-identification matches video clips of people across non-overlapping cameras. Most existing methods tackle this problem by encoding each video frame in its entirety and computing an aggregate representation across all frames. In practice, people are often partially occluded, which can corrupt the extracted features. Instead, we propose a new spatiotemporal attention model that automatically discovers a diverse set of distinctive body parts. This allows useful information to be extracted from all frames without succumbing to occlusions and misalignments. The network learns multiple spatial attention models and employs a diversity regularization term to ensure multiple models do not discover the same body part. Features extracted from local image regions are organized by spatial attention model and are combined using temporal attention. As a result, the network learns latent representations of the face, torso and other body parts using the best available image patches from the entire video sequence. Extensive evaluations on three datasets show that our framework outperforms the state-of-the-art approaches by large margins on multiple metrics.",http://arxiv.org/pdf/1803.09882v1
