Date,Time,Location,#,Session,Session Title,Paper ID,Paper Title,Authors,Title-arxiv,Abstract,URL
,,,,,,1385,Unsupervised Pixel-Level Domain Adaptation With Generative Adversarial Networks,"Konstantinos Bousmalis, Nathan Silberman, David Dohan, Dumitru Erhan, Dilip Krishnan",Unsupervised Pixel-Level Domain Adaptation with Generative Adversarial Networks,"Collecting well-annotated image datasets to train modern machine learning algorithms is prohibitively expensive for many tasks. One appealing alternative is rendering synthetic data where ground-truth annotations are generated automatically. Unfortunately, models trained purely on rendered images often fail to generalize to real images. To address this shortcoming, prior work introduced unsupervised domain adaptation algorithms that attempt to map representations between the two domains or learn to extract features that are domain-invariant. In this work, we present a new approach that learns, in an unsupervised manner, a transformation in the pixel space from one domain to the other. Our generative adversarial network (GAN)-based method adapts source-domain images to appear as if drawn from the target domain. Our approach not only produces plausible samples, but also outperforms the state-of-the-art on a number of unsupervised domain adaptation scenarios by large margins. Finally, we demonstrate that the adaptation process generalizes to object classes unseen during training.",http://arxiv.org/pdf/1612.05424v1
,,,,,,1948,Photo-Realistic Single Image Super-Resolution Using a Generative Adversarial Network,"Christian Ledig, Lucas Theis, Ferenc HuszÃ¡r, Jose Caballero, Andrew Cunningham, Alejandro Acosta, Andrew Aitken, Alykhan Tejani, Johannes Totz, Zehan Wang, Wenzhe Shi",Photo-Realistic Single Image Super-Resolution Using a Generative Adversarial Network,"Despite the breakthroughs in accuracy and speed of single image super-resolution using faster and deeper convolutional neural networks, one central problem remains largely unsolved: how do we recover the finer texture details when we super-resolve at large upscaling factors? The behavior of optimization-based super-resolution methods is principally driven by the choice of the objective function. Recent work has largely focused on minimizing the mean squared reconstruction error. The resulting estimates have high peak signal-to-noise ratios, but they are often lacking high-frequency details and are perceptually unsatisfying in the sense that they fail to match the fidelity expected at the higher resolution. In this paper, we present SRGAN, a generative adversarial network (GAN) for image super-resolution (SR). To our knowledge, it is the first framework capable of inferring photo-realistic natural images for 4x upscaling factors. To achieve this, we propose a perceptual loss function which consists of an adversarial loss and a content loss. The adversarial loss pushes our solution to the natural image manifold using a discriminator network that is trained to differentiate between the super-resolved images and original photo-realistic images. In addition, we use a content loss motivated by perceptual similarity instead of similarity in pixel space. Our deep residual network is able to recover photo-realistic textures from heavily downsampled images on public benchmarks. An extensive mean-opinion-score (MOS) test shows hugely significant gains in perceptual quality using SRGAN. The MOS scores obtained with SRGAN are closer to those of the original high-resolution images than to those obtained with any state-of-the-art method.",http://arxiv.org/pdf/1609.04802v5
"Saturday, July 22, 2017","0900â€“1030","KalÄÅkaua Ballroom A-B",2,"Spotlight 1-1B","3D Vision 1",147,Global Hypothesis Generation for 6D Object Pose Estimation,"Frank Michel, Alexander Kirillov, Eric Brachmann, Alexander Krull, Stefan Gumhold, Bogdan Savchynskyy, Carsten Rother",Global Hypothesis Generation for 6D Object Pose Estimation,"This paper addresses the task of estimating the 6D pose of a known 3D object from a single RGB-D image. Most modern approaches solve this task in three steps: i) Compute local features; ii) Generate a pool of pose-hypotheses; iii) Select and refine a pose from the pool. This work focuses on the second step. While all existing approaches generate the hypotheses pool via local reasoning, e.g. RANSAC or Hough-voting, we are the first to show that global reasoning is beneficial at this stage. In particular, we formulate a novel fully-connected Conditional Random Field (CRF) that outputs a very small number of pose-hypotheses. Despite the potential functions of the CRF being non-Gaussian, we give a new and efficient two-step optimization procedure, with some guarantees for optimality. We utilize our global hypotheses generation procedure to produce results that exceed state-of-the-art for the challenging ""Occluded Object Dataset"".",http://arxiv.org/pdf/1612.02287v3
,,,,,,380,A Practical Method for Fully Automatic Intrinsic Camera Calibration Using Directionally Encoded Light,"Mahdi Abbaspour Tehrani, Thabo Beeler, Anselm GrundhÃ¶fer",,,
,,,,,,1075,CATS: A Color and Thermal Stereo Benchmark,"Wayne Treible, Philip Saponaro, Scott Sorensen, Abhishek Kolagunda, Michael O'Neal, Brian Phelan, Kelly Sherbondy, Chandra Kambhamettu",,,
,,,,,,1248,Elastic Shape-From-Template With Spatially Sparse Deforming Forces,"Abed Malti, CÃ©dric Herzet",,,
,,,,,,1473,Distinguishing the Indistinguishable: Exploring Structural Ambiguities via Geodesic Context,"Qingan Yan, Long Yang, Ling Zhang, Chunxia Xiao",,,
,,,,,,2250,Multi-Scale Continuous CRFs as Sequential Deep Networks for Monocular Depth Estimation,"Dan Xu, Elisa Ricci, Wanli Ouyang, Xiaogang Wang, Nicu Sebe",Multi-Scale Continuous CRFs as Sequential Deep Networks for Monocular Depth Estimation,"This paper addresses the problem of depth estimation from a single still image. Inspired by recent works on multi- scale convolutional neural networks (CNN), we propose a deep model which fuses complementary information derived from multiple CNN side outputs. Different from previous methods, the integration is obtained by means of continuous Conditional Random Fields (CRFs). In particular, we propose two different variations, one based on a cascade of multiple CRFs, the other on a unified graphical model. By designing a novel CNN implementation of mean-field updates for continuous CRFs, we show that both proposed models can be regarded as sequential deep networks and that training can be performed end-to-end. Through extensive experimental evaluation we demonstrate the effective- ness of the proposed approach and establish new state of the art results on publicly available datasets.",http://arxiv.org/pdf/1704.02157v1
,,,,,,2685,Dynamic Time-Of-Flight,"Michael Schober, Amit Adam, Omer Yair, Shai Mazor, Sebastian Nowozin",Design and Implementation of Flight Visual Simulation System,"The design requirement for flight visual simulation system is studied and the overall structure and development process are proposed in this paper. Through the construction of 3D scene model library and aircraft model, the rendering and interaction of visual scene are implemented. The changes of aircraft flight attitude in visual system are controlled by real-time calculation of aircraft aerodynamic and dynamic equations and flight simulation effect is enhanced by this kind of control. Several key techniques for optimizing 3D model and relative methods for large terrain modeling are explored for improving loading ability and rendering speed of the system. Experiment shows that, with specific function and performance guaranteed as a premise, the system achieves expected results, that is, precise real-time calculation of flight attitude and smooth realistic screen effect.",http://arxiv.org/pdf/1212.0365v1
,,,,,,2827,Training Object Class Detectors With Click Supervision,"Dim P. Papadopoulos, Jasper R. R. Uijlings, Frank Keller, Vittorio Ferrari",Training object class detectors with click supervision,"Training object class detectors typically requires a large set of images with objects annotated by bounding boxes. However, manually drawing bounding boxes is very time consuming. In this paper we greatly reduce annotation time by proposing center-click annotations: we ask annotators to click on the center of an imaginary bounding box which tightly encloses the object instance. We then incorporate these clicks into existing Multiple Instance Learning techniques for weakly supervised object localization, to jointly localize object bounding boxes over all training images. Extensive experiments on PASCAL VOC 2007 and MS COCO show that: (1) our scheme delivers high-quality detectors, performing substantially better than those produced by weakly supervised techniques, with a modest extra annotation effort; (2) these detectors in fact perform in a range close to those trained from manually drawn bounding boxes; (3) as the center-click task is very fast, our scheme reduces total annotation time by 9x to 18x.",http://arxiv.org/pdf/1704.06189v2
,,,,Oral 1-1B,,646,Semantic Scene Completion From a Single Depth Image,"Shuran Song, Fisher Yu, Andy Zeng, Angel X. Chang, Manolis Savva, Thomas Funkhouser",Semantic Scene Completion from a Single Depth Image,"This paper focuses on semantic scene completion, a task for producing a complete 3D voxel representation of volumetric occupancy and semantic labels for a scene from a single-view depth map observation. Previous work has considered scene completion and semantic labeling of depth maps separately. However, we observe that these two problems are tightly intertwined. To leverage the coupled nature of these two tasks, we introduce the semantic scene completion network (SSCNet), an end-to-end 3D convolutional network that takes a single depth image as input and simultaneously outputs occupancy and semantic labels for all voxels in the camera view frustum. Our network uses a dilation-based 3D context module to efficiently expand the receptive field and enable 3D context learning. To train our network, we construct SUNCG - a manually created large-scale dataset of synthetic 3D scenes with dense volumetric annotations. Our experiments demonstrate that the joint model outperforms methods addressing each task in isolation and outperforms alternative approaches on the semantic scene completion task.",http://arxiv.org/pdf/1611.08974v1
,,,,,,668,3DMatch: Learning Local Geometric Descriptors From RGB-D Reconstructions,"Andy Zeng, Shuran Song, Matthias NieÃŸner, Matthew Fisher, Jianxiong Xiao, Thomas Funkhouser",,,
,,,,,,950,Multi-View Supervision for Single-View Reconstruction via Differentiable Ray Consistency,"Shubham Tulsiani, Tinghui Zhou, Alexei A. Efros, Jitendra Malik",Multi-view Supervision for Single-view Reconstruction via Differentiable Ray Consistency,"We study the notion of consistency between a 3D shape and a 2D observation and propose a differentiable formulation which allows computing gradients of the 3D shape given an observation from an arbitrary view. We do so by reformulating view consistency using a differentiable ray consistency (DRC) term. We show that this formulation can be incorporated in a learning framework to leverage different types of multi-view observations e.g. foreground masks, depth, color images, semantics etc. as supervision for learning single-view 3D prediction. We present empirical analysis of our technique in a controlled setting. We also show that this approach allows us to improve over existing techniques for single-view reconstruction of objects from the PASCAL VOC dataset.",http://arxiv.org/pdf/1704.06254v1
,,,,,,1821,On-The-Fly Adaptation of Regression Forests for Online Camera Relocalisation,"Tommaso Cavallari, Stuart Golodetz, Nicholas A. Lord, Julien Valentin, Luigi Di Stefano, Philip H. S. Torr",On-the-Fly Adaptation of Regression Forests for Online Camera Relocalisation,"Camera relocalisation is a key problem in computer vision, with applications as diverse as simultaneous localisation and mapping, virtual/augmented reality and navigation. Common techniques either match the current image against keyframes with known poses coming from a tracker, or establish 2D-to-3D correspondences between keypoints in the current image and points in the scene in order to estimate the camera pose. Recently, regression forests have become a popular alternative to establish such correspondences. They achieve accurate results, but must be trained offline on the target scene, preventing relocalisation in new environments. In this paper, we show how to circumvent this limitation by adapting a pre-trained forest to a new scene on the fly. Our adapted forests achieve relocalisation performance that is on par with that of offline forests, and our approach runs in under 150ms, making it desirable for real-time systems that require online relocalisation.",http://arxiv.org/pdf/1702.02779v1
"Saturday, July 22, 2017",0900â€“1030,KalÄÅkaua Ballroom C,3,Spotlight 1-1C,Low- & Mid-Level Vision,23,Designing Effective Inter-Pixel Information Flow for Natural Image Matting,"YaÄŸiz Aksoy, TunÃ§ Ozan Aydin, Marc Pollefeys",,,
,,,,,,460,Deep Video Deblurring for Hand-Held Cameras,"Shuochen Su, Mauricio Delbracio, Jue Wang, Guillermo Sapiro, Wolfgang Heidrich, Oliver Wang",Deep Video Deblurring,"Motion blur from camera shake is a major problem in videos captured by hand-held devices. Unlike single-image deblurring, video-based approaches can take advantage of the abundant information that exists across neighboring frames. As a result the best performing methods rely on aligning nearby frames. However, aligning images is a computationally expensive and fragile procedure, and methods that aggregate information must therefore be able to identify which regions have been accurately aligned and which have not, a task which requires high level scene understanding. In this work, we introduce a deep learning solution to video deblurring, where a CNN is trained end-to-end to learn how to accumulate information across frames. To train this network, we collected a dataset of real videos recorded with a high framerate camera, which we use to generate synthetic motion blur for supervision. We show that the features learned from this dataset extend to deblurring motion blur that arises due to camera shake in a wide range of videos, and compare the quality of results to a number of other baselines.",http://arxiv.org/pdf/1611.08387v1
,,,,,,877,Instance-Level Salient Object Segmentation,"Guanbin Li, Yuan Xie, Liang Lin, Yizhou Yu",Instance-Level Salient Object Segmentation,"Image saliency detection has recently witnessed rapid progress due to deep convolutional neural networks. However, none of the existing methods is able to identify object instances in the detected salient regions. In this paper, we present a salient instance segmentation method that produces a saliency mask with distinct object instance labels for an input image. Our method consists of three steps, estimating saliency map, detecting salient object contours and identifying salient object instances. For the first two steps, we propose a multiscale saliency refinement network, which generates high-quality salient region masks and salient object contours. Once integrated with multiscale combinatorial grouping and a MAP-based subset optimization framework, our method can generate very promising salient object instance segmentation results. To promote further research and evaluation of salient instance segmentation, we also construct a new database of 1000 images and their pixelwise salient instance annotations. Experimental results demonstrate that our proposed method is capable of achieving state-of-the-art performance on all public benchmarks for salient region detection as well as on our new dataset for salient instance segmentation.",http://arxiv.org/pdf/1704.03604v1
,,,,,,1509,Deep Multi-Scale Convolutional Neural Network for Dynamic Scene Deblurring,"Seungjun Nah, Tae Hyun Kim, Kyoung Mu Lee",Deep Multi-scale Convolutional Neural Network for Dynamic Scene Deblurring,"Non-uniform blind deblurring for general dynamic scenes is a challenging computer vision problem since blurs are caused by camera shake, scene depth as well as multiple object motions. To remove these complicated motion blurs, conventional energy optimization based methods rely on simple assumptions such that blur kernel is partially uniform or locally linear. Moreover, recent machine learning based methods also depend on synthetic blur datasets generated under these assumptions. This makes conventional deblurring methods fail to remove blurs where blur kernel is difficult to approximate or parameterize (e.g. object motion boundaries). In this work, we propose a multi-scale convolutional neural network that restores blurred images caused by various sources in an end-to-end manner. Furthermore, we present multi-scale loss function that mimics conventional coarse-to-fine approaches. Moreover, we propose a new large scale dataset that provides pairs of realistic blurry image and the corresponding ground truth sharp image that are obtained by a high-speed camera. With the proposed model trained on this dataset, we demonstrate empirically that our method achieves the state-of-the-art performance in dynamic scene deblurring not only qualitatively, but also quantitatively.",http://arxiv.org/pdf/1612.02177v1
,,,,,,1532,Diversified Texture Synthesis With Feed-Forward Networks,"Yijun Li, Chen Fang, Jimei Yang, Zhaowen Wang, Xin Lu, Ming-Hsuan Yang",Diversified Texture Synthesis with Feed-forward Networks,"Recent progresses on deep discriminative and generative modeling have shown promising results on texture synthesis. However, existing feed-forward based methods trade off generality for efficiency, which suffer from many issues, such as shortage of generality (i.e., build one network per texture), lack of diversity (i.e., always produce visually identical output) and suboptimality (i.e., generate less satisfying visual effects). In this work, we focus on solving these issues for improved texture synthesis. We propose a deep generative feed-forward network which enables efficient synthesis of multiple textures within one single network and meaningful interpolation between them. Meanwhile, a suite of important techniques are introduced to achieve better convergence and diversity. With extensive experiments, we demonstrate the effectiveness of the proposed model and techniques for synthesizing a large number of textures and show its applications with the stylization.",http://arxiv.org/pdf/1703.01664v1
,,,,,,1969,Radiometric Calibration for Internet Photo Collections,"Zhipeng Mo, Boxin Shi, Sai-Kit Yeung, Yasuyuki Matsushita",,,
,,,,,,2866,Deeply Aggregated Alternating Minimization for Image Restoration,"Youngjung Kim, Hyungjoo Jung, Dongbo Min, Kwanghoon Sohn",Deeply Aggregated Alternating Minimization for Image Restoration,"Regularization-based image restoration has remained an active research topic in computer vision and image processing. It often leverages a guidance signal captured in different fields as an additional cue. In this work, we present a general framework for image restoration, called deeply aggregated alternating minimization (DeepAM). We propose to train deep neural network to advance two of the steps in the conventional AM algorithm: proximal mapping and ?- continuation. Both steps are learned from a large dataset in an end-to-end manner. The proposed framework enables the convolutional neural networks (CNNs) to operate as a prior or regularizer in the AM algorithm. We show that our learned regularizer via deep aggregation outperforms the recent data-driven approaches as well as the nonlocalbased methods. The flexibility and effectiveness of our framework are demonstrated in several image restoration tasks, including single image denoising, RGB-NIR restoration, and depth super-resolution.",http://arxiv.org/pdf/1612.06508v1
,,,,,,3051,End-To-End Instance Segmentation With Recurrent Attention,"Mengye Ren, Richard S. Zemel",End-to-End Instance Segmentation with Recurrent Attention,"While convolutional neural networks have gained impressive success recently in solving structured prediction problems such as semantic segmentation, it remains a challenge to differentiate individual object instances in the scene. Instance segmentation is very important in a variety of applications, such as autonomous driving, image captioning, and visual question answering. Techniques that combine large graphical models with low-level vision have been proposed to address this problem; however, we propose an end-to-end recurrent neural network (RNN) architecture with an attention mechanism to model a human-like counting process, and produce detailed instance segmentations. The network is jointly trained to sequentially produce regions of interest as well as a dominant object segmentation within each region. The proposed model achieves competitive results on the CVPPP, KITTI, and Cityscapes datasets.",http://arxiv.org/pdf/1605.09410v4
,,,,Oral 1-1C,,369,SRN: Side-output Residual Network for Object Symmetry Detection in the Wild,"Wei Ke, Jie Chen, Jianbin Jiao, Guoying Zhao, Qixiang Ye",SRN: Side-output Residual Network for Object Symmetry Detection in the Wild,"In this paper, we establish a baseline for object symmetry detection in complex backgrounds by presenting a new benchmark and an end-to-end deep learning approach, opening up a promising direction for symmetry detection in the wild. The new benchmark, named Sym-PASCAL, spans challenges including object diversity, multi-objects, part-invisibility, and various complex backgrounds that are far beyond those in existing datasets. The proposed symmetry detection approach, named Side-output Residual Network (SRN), leverages output Residual Units (RUs) to fit the errors between the object symmetry groundtruth and the outputs of RUs. By stacking RUs in a deep-to-shallow manner, SRN exploits the 'flow' of errors among multiple scales to ease the problems of fitting complex outputs with limited layers, suppressing the complex backgrounds, and effectively matching object symmetry of different scales. Experimental results validate both the benchmark and its challenging aspects related to realworld images, and the state-of-the-art performance of our symmetry detection approach. The benchmark and the code for SRN are publicly available at https://github.com/KevinKecc/SRN.",http://arxiv.org/pdf/1703.02243v2
,,,,,,1081,Deep Image Matting,"Ning Xu, Brian Price, Scott Cohen, Thomas Huang",Deep Image Matting,"Image matting is a fundamental computer vision problem and has many applications. Previous algorithms have poor performance when an image has similar foreground and background colors or complicated textures. The main reasons are prior methods 1) only use low-level features and 2) lack high-level context. In this paper, we propose a novel deep learning based algorithm that can tackle both these problems. Our deep model has two parts. The first part is a deep convolutional encoder-decoder network that takes an image and the corresponding trimap as inputs and predict the alpha matte of the image. The second part is a small convolutional network that refines the alpha matte predictions of the first network to have more accurate alpha values and sharper edges. In addition, we also create a large-scale image matting dataset including 49300 training images and 1000 testing images. We evaluate our algorithm on the image matting benchmark, our testing set, and a wide variety of real images. Experimental results clearly demonstrate the superiority of our algorithm over previous methods.",http://arxiv.org/pdf/1703.03872v3
,,,,,,1574,Wetness and Color From a Single Multispectral Image,"Mihoko Shimano, Hiroki Okawa, Yuta Asano, Ryoma Bise, Ko Nishino, Imari Sato",,,
,,,,,,1641,FC4: Fully Convolutional Color Constancy With Confidence-Weighted Pooling,"Yuanming Hu, Baoyuan Wang, Stephen Lin",,,
"Saturday, July 22, 2017",1030â€“1230,Kamehameha I,4,Poster 1-1,3D Computer Vision,24,Face Normals â€œIn-The-Wildâ€ù Using Fully Convolutional Networks,"George Trigeorgis, Patrick Snape, Iasonas Kokkinos, Stefanos Zafeiriou",,,
,,,,,,39,A Non-Convex Variational Approach to Photometric Stereo Under Inaccurate Lighting,"Yvain QuÃ©au, Tao Wu, FranÃ§ois Lauze, Jean-Denis Durou, Daniel Cremers",,,
,,,,,,179,A Linear Extrinsic Calibration of Kaleidoscopic Imaging System From Single 3D Point,"Kosuke Takahashi, Akihiro Miyata, Shohei Nobuhara, Takashi Matsuyama",A Linear Extrinsic Calibration of Kaleidoscopic Imaging System from Single 3D Point,"This paper proposes a new extrinsic calibration of kaleidoscopic imaging system by estimating normals and distances of the mirrors. The problem to be solved in this paper is a simultaneous estimation of all mirror parameters consistent throughout multiple reflections. Unlike conventional methods utilizing a pair of direct and mirrored images of a reference 3D object to estimate the parameters on a per-mirror basis, our method renders the simultaneous estimation problem into solving a linear set of equations. The key contribution of this paper is to introduce a linear estimation of multiple mirror parameters from kaleidoscopic 2D projections of a single 3D point of unknown geometry. Evaluations with synthesized and real images demonstrate the performance of the proposed algorithm in comparison with conventional methods.",http://arxiv.org/pdf/1703.02826v3
,,,,,,579,Polarimetric Multi-View Stereo,"Zhaopeng Cui, Jinwei Gu, Boxin Shi, Ping Tan, Jan Kautz",,,
,,,,,,702,An Exact Penalty Method for Locally Convergent Maximum Consensus,"Huu Le, Tat-Jun Chin, David Suter",,,
,,,,,,2317,Deep Supervision With Shape Concepts for Occlusion-Aware 3D Object Parsing,"Chi Li, M. Zeeshan Zia, Quoc-Huy Tran, Xiang Yu, Gregory D. Hager, Manmohan Chandraker",Deep Supervision with Shape Concepts for Occlusion-Aware 3D Object Parsing,"Monocular 3D object parsing is highly desirable in various scenarios including occlusion reasoning and holistic scene interpretation. We present a deep convolutional neural network (CNN) architecture to localize semantic parts in 2D image and 3D space while inferring their visibility states, given a single RGB image. Our key insight is to exploit domain knowledge to regularize the network by deeply supervising its hidden layers, in order to sequentially infer intermediate concepts associated with the final task. To acquire training data in desired quantities with ground truth 3D shape and relevant concepts, we render 3D object CAD models to generate large-scale synthetic data and simulate challenging occlusion configurations between objects. We train the network only on synthetic data and demonstrate state-of-the-art performances on real image benchmarks including an extended version of KITTI, PASCAL VOC, PASCAL3D+ and IKEA for 2D and 3D keypoint localization and instance segmentation. The empirical results substantiate the utility of our deep supervision scheme by demonstrating effective transfer of knowledge from synthetic data to real images, resulting in less overfitting compared to standard end-to-end training.",http://arxiv.org/pdf/1612.02699v3
,,,,,,2455,Amodal Detection of 3D Objects: Inferring 3D Bounding Boxes From 2D Ones in RGB-Depth Images,"Zhuo Deng, Longin Jan Latecki",,,
